,ID1,ID2,Relation
384,capec130,capec493,ParentOf
385,capec130,capec494,ParentOf
386,capec130,capec495,ParentOf
387,capec130,capec496,ParentOf
388,capec169,capec497,ParentOf
389,capec545,capec498,ParentOf
390,capec117,capec499,ParentOf
391,capec220,capec5,ParentOf
392,capec212,capec50,ParentOf
393,capec50,capec600,CanPrecede
394,capec50,capec151,CanPrecede
395,capec50,capec560,CanPrecede
396,capec50,capec561,CanPrecede
397,capec50,capec653,CanPrecede
398,capec253,capec500,ParentOf
399,capec499,capec501,ParentOf
400,capec173,capec501,ParentOf
401,capec148,capec502,ParentOf
402,capec122,capec503,ParentOf
403,capec173,capec504,ParentOf
404,capec616,capec505,ParentOf
405,capec173,capec506,ParentOf
406,capec651,capec508,ParentOf
407,capec508,capec560,CanPrecede
408,capec652,capec509,ParentOf
409,capec509,capec151,CanPrecede
410,capec203,capec51,ParentOf
411,capec21,capec510,ParentOf
412,capec444,capec511,ParentOf
413,capec444,capec516,ParentOf
414,capec447,capec517,ParentOf
415,capec447,capec518,ParentOf
416,capec447,capec519,ParentOf
417,capec267,capec52,ParentOf
418,capec444,capec520,ParentOf
419,capec447,capec521,ParentOf
420,capec439,capec522,ParentOf
421,capec439,capec523,ParentOf
422,capec439,capec524,ParentOf
423,capec125,capec528,ParentOf
424,capec169,capec529,ParentOf
425,capec267,capec53,ParentOf
426,capec531,capec530,ParentOf
427,capec534,capec531,ParentOf
428,capec444,capec532,ParentOf
429,capec186,capec533,ParentOf
430,capec440,capec534,ParentOf
431,capec531,capec535,ParentOf
432,capec176,capec536,ParentOf
433,capec444,capec537,ParentOf
434,capec444,capec538,ParentOf
435,capec444,capec539,ParentOf
436,capec116,capec54,ParentOf
437,capec123,capec540,ParentOf
438,capec224,capec541,ParentOf
439,capec549,capec542,ParentOf
440,capec542,capec662,CanPrecede
441,capec194,capec543,ParentOf
442,capec543,capec89,CanPrecede
443,capec194,capec544,ParentOf
444,capec116,capec545,ParentOf
445,capec545,capec546,ParentOf
446,capec607,capec547,ParentOf
447,capec548,capec607,CanPrecede
448,capec49,capec55,ParentOf
449,capec55,capec600,CanPrecede
450,capec55,capec151,CanPrecede
451,capec55,capec560,CanPrecede
452,capec55,capec561,CanPrecede
453,capec55,capec653,CanPrecede
454,capec542,capec550,ParentOf
455,capec542,capec551,ParentOf
456,capec542,capec552,ParentOf
457,capec560,capec555,ParentOf
458,capec555,capec151,CanPrecede
459,capec542,capec556,ParentOf
460,capec542,capec558,ParentOf
461,capec601,capec559,ParentOf
462,capec560,capec151,CanPrecede
463,capec653,capec561,ParentOf
464,capec561,capec151,CanPrecede
465,capec561,capec165,CanPrecede
466,capec561,capec549,CanPrecede
467,capec561,capec545,CanPrecede
468,capec17,capec562,ParentOf
469,capec17,capec563,ParentOf
470,capec542,capec564,ParentOf
471,capec49,capec565,ParentOf
472,capec565,capec600,CanPrecede
473,capec565,capec151,CanPrecede
474,capec565,capec560,CanPrecede
475,capec565,capec561,CanPrecede
476,capec565,capec653,CanPrecede
477,capec569,capec568,ParentOf
478,capec568,capec600,CanPrecede
479,capec568,capec151,CanPrecede
480,capec568,capec560,CanPrecede
481,capec568,capec561,CanPrecede
482,capec568,capec653,CanPrecede
483,capec116,capec569,ParentOf
484,capec157,capec57,ParentOf
485,capec161,capec571,ParentOf
486,capec165,capec572,ParentOf
487,capec169,capec573,ParentOf
488,capec169,capec574,ParentOf
489,capec169,capec575,ParentOf
490,capec169,capec576,ParentOf
491,capec169,capec577,ParentOf
492,capec176,capec578,ParentOf
493,capec542,capec579,ParentOf
494,capec1,capec58,ParentOf
495,capec180,capec58,ParentOf
496,capec169,capec580,ParentOf
497,capec580,capec581,ParentOf
498,capec607,capec582,ParentOf
499,capec582,capec583,ParentOf
500,capec582,capec584,ParentOf
501,capec582,capec585,ParentOf
502,capec103,capec587,ParentOf
503,capec63,capec588,ParentOf
504,capec603,capec589,ParentOf
505,capec196,capec59,ParentOf
506,capec603,capec590,ParentOf
507,capec63,capec591,ParentOf
508,capec63,capec592,ParentOf
509,capec21,capec593,ParentOf
510,capec594,capec595,ParentOf
511,capec595,capec596,ParentOf
512,capec126,capec597,ParentOf
513,capec194,capec598,ParentOf
514,capec195,capec599,ParentOf
515,capec137,capec6,ParentOf
516,capec593,capec60,ParentOf
517,capec560,capec600,ParentOf
518,capec600,capec151,CanPrecede
519,capec600,capec653,CanPrecede
520,capec607,capec601,ParentOf
521,capec607,capec603,ParentOf
522,capec601,capec604,ParentOf
523,capec601,capec605,ParentOf
524,capec620,capec606,ParentOf
525,capec97,capec608,ParentOf
526,capec157,capec609,ParentOf
527,capec593,capec61,ParentOf
528,capec240,capec610,ParentOf
529,capec616,capec611,ParentOf
530,capec611,capec89,CanPrecede
531,capec611,capec543,CanPrecede
532,capec292,capec612,ParentOf
533,capec292,capec613,ParentOf
534,capec186,capec614,ParentOf
535,capec616,capec615,ParentOf
536,capec154,capec616,ParentOf
537,capec616,capec691,CanPrecede
538,capec616,capec617,ParentOf
539,capec292,capec618,ParentOf
540,capec292,capec619,ParentOf
541,capec21,capec62,ParentOf
542,capec212,capec620,ParentOf
543,capec189,capec621,ParentOf
544,capec189,capec622,ParentOf
545,capec189,capec623,ParentOf
546,capec624,capec625,ParentOf
547,capec395,capec626,ParentOf
548,capec148,capec627,ParentOf
549,capec627,capec628,ParentOf
550,capec242,capec63,ParentOf
551,capec63,capec107,CanPrecede
552,capec616,capec630,ParentOf
553,capec630,capec89,CanPrecede
554,capec630,capec543,CanPrecede
555,capec616,capec631,ParentOf
556,capec631,capec89,CanPrecede
557,capec631,capec543,CanPrecede
558,capec616,capec632,ParentOf
559,capec632,capec89,CanPrecede
560,capec632,capec543,CanPrecede
561,capec194,capec633,ParentOf
562,capec651,capec634,ParentOf
563,capec545,capec634,ParentOf
564,capec165,capec635,ParentOf
565,capec165,capec636,ParentOf
566,capec150,capec637,ParentOf
567,capec452,capec638,ParentOf
568,capec545,capec639,ParentOf
569,capec267,capec64,ParentOf
570,capec251,capec640,ParentOf
571,capec159,capec641,ParentOf
572,capec17,capec642,ParentOf
573,capec309,capec643,ParentOf
574,capec643,capec561,CanPrecede
575,capec643,capec545,CanPrecede
576,capec643,capec165,CanPrecede
577,capec653,capec644,ParentOf
578,capec644,capec151,CanPrecede
579,capec644,capec165,CanPrecede
580,capec644,capec549,CanPrecede
581,capec644,capec545,CanPrecede
582,capec652,capec645,ParentOf
583,capec645,capec151,CanPrecede
584,capec169,capec646,ParentOf
585,capec150,capec647,ParentOf
586,capec150,capec648,ParentOf
587,capec635,capec649,ParentOf
588,capec157,capec65,ParentOf
589,capec65,capec37,CanPrecede
590,capec17,capec650,ParentOf
591,capec117,capec651,ParentOf
592,capec560,capec652,ParentOf
593,capec652,capec151,CanPrecede
594,capec560,capec653,ParentOf
595,capec653,capec151,CanPrecede
596,capec504,capec654,ParentOf
597,capec572,capec655,ParentOf
598,capec98,capec656,ParentOf
599,capec186,capec657,ParentOf
600,capec248,capec66,ParentOf
601,capec251,capec660,ParentOf
602,capec121,capec661,ParentOf
603,capec661,capec68,CanPrecede
604,capec661,capec660,CanPrecede
605,capec94,capec662,ParentOf
606,capec74,capec663,ParentOf
607,capec184,capec663,ParentOf
608,capec663,capec141,CanPrecede
609,capec663,capec212,PeerOf
610,capec663,capec124,PeerOf
611,capec663,capec180,PeerOf
612,capec115,capec664,ParentOf
613,capec276,capec665,ParentOf
614,capec390,capec665,CanPrecede
615,capec665,capec458,PeerOf
616,capec665,capec148,PeerOf
617,capec665,capec151,PeerOf
618,capec125,capec666,ParentOf
619,capec616,capec667,ParentOf
620,capec115,capec668,ParentOf
621,capec668,capec148,CanPrecede
622,capec184,capec669,ParentOf
623,capec669,capec673,CanPrecede
624,capec100,capec67,ParentOf
625,capec135,capec67,ParentOf
626,capec444,capec670,ParentOf
627,capec670,capec669,CanPrecede
628,capec447,capec671,ParentOf
629,capec444,capec672,ParentOf
630,capec444,capec673,ParentOf
631,capec447,capec674,ParentOf
632,capec116,capec675,ParentOf
633,capec675,capec37,CanPrecede
634,capec248,capec676,ParentOf
635,capec534,capec677,ParentOf
636,capec444,capec678,ParentOf
637,capec1,capec679,ParentOf
638,capec180,capec679,ParentOf
639,capec233,capec68,ParentOf
640,capec1,capec680,ParentOf
641,capec180,capec680,ParentOf
642,capec1,capec681,ParentOf
643,capec180,capec681,ParentOf
644,capec212,capec682,ParentOf
645,capec233,capec69,ParentOf
646,capec69,capec8,CanPrecede
647,capec69,capec9,CanPrecede
648,capec69,capec10,CanPrecede
649,capec69,capec67,CanPrecede
650,capec690,capec691,ParentOf
651,capec691,capec184,CanPrecede
652,capec691,capec444,CanPrecede
653,capec691,capec630,PeerOf
654,capec691,capec692,ParentOf
655,capec691,capec693,ParentOf
656,capec169,capec694,ParentOf
657,capec616,capec695,ParentOf
