,ID1,ID2,Relation
772,cwe289,cwe46,CanFollow
773,cwe47,cwe41,ChildOf
774,cwe48,cwe41,ChildOf
775,cwe49,cwe41,ChildOf
776,cwe49,cwe162,ChildOf
777,cwe50,cwe41,ChildOf
778,cwe50,cwe161,ChildOf
779,cwe51,cwe41,ChildOf
780,cwe52,cwe41,ChildOf
781,cwe52,cwe163,ChildOf
782,cwe289,cwe52,CanFollow
783,cwe53,cwe41,ChildOf
784,cwe53,cwe165,ChildOf
785,cwe54,cwe41,ChildOf
786,cwe54,cwe162,ChildOf
787,cwe55,cwe41,ChildOf
788,cwe56,cwe41,ChildOf
789,cwe56,cwe155,ChildOf
790,cwe57,cwe41,ChildOf
791,cwe58,cwe41,ChildOf
792,cwe59,cwe706,ChildOf
793,cwe61,cwe59,ChildOf
794,cwe62,cwe59,ChildOf
795,cwe64,cwe59,ChildOf
796,cwe65,cwe59,ChildOf
797,cwe66,cwe706,ChildOf
798,cwe67,cwe66,ChildOf
799,cwe69,cwe66,ChildOf
800,cwe72,cwe66,ChildOf
801,cwe73,cwe642,ChildOf
802,cwe73,cwe610,ChildOf
803,cwe73,cwe20,ChildOf
804,cwe22,cwe73,CanFollow
805,cwe41,cwe73,CanFollow
806,cwe98,cwe73,CanFollow
807,cwe434,cwe73,CanFollow
808,cwe59,cwe73,CanFollow
809,cwe74,cwe707,ChildOf
810,cwe75,cwe74,ChildOf
811,cwe76,cwe75,ChildOf
812,cwe77,cwe74,ChildOf
813,cwe78,cwe77,ChildOf
814,cwe78,cwe74,ChildOf
815,cwe79,cwe74,ChildOf
816,cwe494,cwe79,CanFollow
817,cwe352,cwe79,PeerOf
818,cwe80,cwe79,ChildOf
819,cwe81,cwe79,ChildOf
820,cwe82,cwe83,ChildOf
821,cwe83,cwe79,ChildOf
822,cwe84,cwe79,ChildOf
823,cwe85,cwe79,ChildOf
824,cwe675,cwe85,PeerOf
825,cwe86,cwe79,ChildOf
826,cwe184,cwe86,PeerOf
827,cwe86,cwe436,ChildOf
828,cwe87,cwe79,ChildOf
829,cwe88,cwe77,ChildOf
830,cwe88,cwe74,ChildOf
831,cwe89,cwe943,ChildOf
832,cwe89,cwe74,ChildOf
833,cwe90,cwe943,ChildOf
834,cwe91,cwe74,ChildOf
835,cwe93,cwe74,ChildOf
836,cwe117,cwe93,CanFollow
837,cwe94,cwe74,ChildOf
838,cwe94,cwe913,ChildOf
839,cwe95,cwe94,ChildOf
840,cwe96,cwe94,ChildOf
841,cwe97,cwe96,ChildOf
842,cwe98,cwe706,ChildOf
843,cwe98,cwe829,ChildOf
844,cwe94,cwe98,CanFollow
845,cwe99,cwe74,ChildOf
846,cwe706,cwe99,PeerOf
847,cwe102,cwe694,ChildOf
848,cwe102,cwe1173,ChildOf
849,cwe102,cwe20,ChildOf
850,cwe103,cwe573,ChildOf
851,cwe103,cwe20,ChildOf
852,cwe104,cwe573,ChildOf
853,cwe104,cwe20,ChildOf
